location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,nearest_grid_mw,grid_dist_km,tier,tier_label,target_name,demand_level,priority,priority_action,estimated_demand_kw,data_quality,daily_sessions_p80,daily_sessions_avg,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,is_tent,afir_gap_threshold_km,utilization_pct
IBE_090,43.398026,-4.168797,A-8,4,Congested,Viesgo,0.173,6.5,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_091,43.378783,-4.641796,A-8,4,Congested,Viesgo,0.069,5.8,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_092,43.363429,-5.035472,A-8,4,Congested,Viesgo,0.055,5.8,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,342000,True,60,53.7
IBE_093,43.357099,-5.448488,A-8,4,Congested,Viesgo,0.069,4.2,2,Partner Co-location,Galp,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_094,43.376719,-5.984087,A-8,4,Congested,Viesgo,0.069,2.5,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_095,43.37251,-6.366154,A-8,4,Congested,Viesgo,0.111,2.1,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_096,43.546895,-6.8705,A-8,4,Congested,Viesgo,0.055,4.4,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_097,43.333791,-7.08228,A-8,4,Congested,Endesa,0.028,12.2,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,342000,True,60,53.7
IBE_098,43.362752,-7.452584,A-8,4,Congested,Endesa,0.068,2.5,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_099,43.053639,-7.689526,A-8,4,Congested,Endesa,0.111,8.9,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,342000,True,60,53.7
IBE_100,42.967354,-8.142968,A-8,4,Congested,Naturgy,0.285,10.7,2,Partner Co-location,Repsol Teiraboa,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_101,43.035393,-8.393847,A-8,4,Congested,Naturgy,0.567,15.7,2,Partner Co-location,Estación de servicio Ordes,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_102,42.491383,-3.37743,AP-1,3,Congested,Viesgo,0.044,57.1,3,New Partner,New site needed,Low,9,Skip for 2027. Revisit next cycle.,450,measured,74,62,65.0,2,2,3,314000,True,60,43.8
IBE_103,42.679985,-3.012275,AP-1,3,Moderate,i-DE,1.03,49.4,1,Upgrade Iberdrola,,Low,8,Only at existing Iberdrola/partner. Monitor.,450,measured,74,62,65.0,2,2,3,129000,True,60,43.8
IBE_104,42.804891,-2.808541,AP-1,3,Moderate,i-DE,1.03,46.5,1,Upgrade Iberdrola,,Low,8,Only at existing Iberdrola/partner. Monitor.,450,measured,74,62,65.0,2,2,3,129000,True,60,43.8
IBE_105,43.098121,-2.433499,AP-1,3,Sufficient,i-DE,3.52,53.1,1,Upgrade Iberdrola,,Low,6,Deploy minimum (4 chargers). Revisit 2028+.,450,measured,74,62,65.0,2,2,3,129000,True,60,43.8
IBE_106,43.2853,-2.22524,AP-1,3,Sufficient,i-DE,3.52,31.0,2,Partner Co-location,,Low,6,Deploy minimum (4 chargers). Revisit 2028+.,450,measured,74,62,65.0,2,2,3,129000,True,60,43.8
IBE_107,43.329731,-1.802575,AP-1,3,Sufficient,i-DE,3.52,4.3,1,Upgrade Iberdrola,,Low,6,Deploy minimum (4 chargers). Revisit 2028+.,450,measured,74,62,65.0,2,2,3,129000,True,60,43.8
IBE_108,42.940563,-2.76643,AP-68,3,Moderate,i-DE,1.03,58.2,1,Upgrade Iberdrola,,Low,8,Only at existing Iberdrola/partner. Monitor.,450,measured,81,70,71.1,2,2,3,129000,True,60,47.9
IBE_109,42.447244,-2.336596,AP-68,3,Moderate,i-DE,1.03,12.7,2,Partner Co-location,Avia,Low,8,Only at existing Iberdrola/partner. Monitor.,450,measured,81,70,71.1,2,2,3,129000,True,60,47.9
IBE_110,42.1468,-2.096855,AP-68,3,Sufficient,i-DE,7.0,17.8,3,New Partner,New site needed,Low,6,Deploy minimum (4 chargers). Revisit 2028+.,450,measured,81,70,71.1,2,2,3,194000,True,60,47.9
IBE_111,42.064985,-1.667979,AP-68,3,Sufficient,i-DE,27.0,1.2,1,Upgrade Iberdrola,,Low,6,Deploy minimum (4 chargers). Revisit 2028+.,450,measured,81,70,71.1,2,2,3,129000,True,60,47.9
IBE_112,41.819111,-1.285104,AP-68,3,Congested,Endesa,0.0,2.4,2,Partner Co-location,,Low,9,Skip for 2027. Revisit next cycle.,450,unknown,81,70,71.1,2,2,3,249000,True,60,47.9
IBE_113,36.433139,-5.161826,AP-7,3,Congested,Endesa,0.0,0.9,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,450,unknown,78,66,68.5,2,2,3,249000,True,60,46.2
IBE_114,36.720053,-4.412436,AP-7,3,Congested,Endesa,0.0,1.2,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,450,unknown,78,66,68.5,2,2,3,249000,True,60,46.2
IBE_115,36.751083,-3.960134,AP-7,3,Congested,Endesa,0.0,1.0,2,Partner Co-location,Estación de Servicio BP Torrox,High,4,Grid upgrade prerequisite. Partner with DSO.,450,unknown,78,66,68.5,2,2,3,249000,True,60,46.2
IBE_116,36.738993,-3.486567,AP-7,3,Congested,Endesa,0.0,5.0,1,Upgrade Iberdrola,Iberdrola,High,4,Grid upgrade prerequisite. Partner with DSO.,450,unknown,78,66,68.5,2,2,3,249000,True,60,46.2
