bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_329,39.78445,-5.15158,N-403,i-DE,750,Moderate
FRIC_330,37.98814,-4.31178,N-420,Endesa,600,Congested
FRIC_331,38.097007,-3.800204,N-420,Endesa,600,Congested
FRIC_332,38.361576,-3.524549,N-420,Endesa,600,Congested
FRIC_333,38.770176,-3.404426,N-420,Naturgy,600,Moderate
FRIC_334,38.977397,-2.759779,N-420,Endesa,600,Congested
FRIC_335,39.307059,-2.52201,N-420,Endesa,600,Congested
FRIC_336,39.751994,-1.080076,N-420,Endesa,600,Congested
FRIC_337,40.216245,-0.936219,N-420,Endesa,600,Congested
FRIC_338,39.12861,-4.8518,N-430,Endesa,900,Congested
FRIC_339,39.09242,-5.03746,N-430,Endesa,900,Congested
FRIC_340,39.09723,-5.55931,N-430,Endesa,900,Congested
FRIC_341,39.34381,-6.34213,N-430,Endesa,900,Congested
FRIC_342,38.18357,-5.04028,N-431,Endesa,1350,Congested
FRIC_343,38.20401,-4.99178,N-432,Endesa,1350,Congested
FRIC_344,38.5014,-5.21267,N-432,Endesa,1350,Congested
FRIC_345,38.73927,-5.60625,N-432,Endesa,1350,Congested
FRIC_346,38.90698,-5.87632,N-432,Endesa,1350,Congested
FRIC_347,38.94794,-6.26758,N-432,Endesa,1350,Congested
FRIC_348,38.86337,-6.78194,N-432,Endesa,1350,Congested
FRIC_349,37.54543,-5.04451,N-433,Endesa,450,Congested
FRIC_350,37.63333,-5.51149,N-433,Endesa,450,Congested
FRIC_351,37.96591,-5.66386,N-433,Endesa,450,Congested
FRIC_352,38.23552,-6.0221,N-433,Endesa,450,Congested
FRIC_353,37.93598,-6.23587,N-433,Endesa,450,Congested
FRIC_354,37.59452,-5.87954,N-435,Endesa,1050,Congested
FRIC_355,37.36224,-6.20553,N-435,Endesa,1050,Congested
FRIC_356,37.33578,-6.76191,N-435,Endesa,1050,Congested
FRIC_357,38.952882,-6.244467,N-5,Endesa,1050,Congested
FRIC_358,39.233818,-5.883067,N-5,Endesa,1050,Congested
FRIC_359,40.68469,-4.11744,N-501,Naturgy,450,Congested
FRIC_360,40.67526,-4.61162,N-501,Naturgy,450,Moderate
FRIC_361,40.20624,-5.04278,N-501,i-DE,450,Moderate
FRIC_362,39.19843,-6.96421,N-521,Endesa,750,Congested
FRIC_363,42.012338,-7.579233,N-525,Naturgy,1200,Congested
FRIC_364,42.055509,-6.593811,N-525,Naturgy,600,Moderate
FRIC_365,42.005585,-6.004183,N-525,Naturgy,1200,Moderate
FRIC_366,42.34267,-7.86012,N-540,Naturgy,600,Moderate
FRIC_367,42.49421,-8.5407,N-541,Naturgy,1350,Moderate
FRIC_368,40.94983,-4.11324,N-6,Naturgy,750,Moderate
FRIC_369,41.33268,-4.31007,N-6,Naturgy,750,Congested
FRIC_370,42.01442,-5.90527,N-6,Naturgy,750,Moderate
FRIC_371,42.0456,-6.50759,N-6,Naturgy,600,Moderate
FRIC_372,41.98682,-7.55016,N-6,Naturgy,750,Congested
FRIC_373,42.30393,-7.86787,N-6,Naturgy,600,Moderate
FRIC_374,42.84676,-8.53294,N-6,Naturgy,750,Congested
FRIC_375,41.119872,-4.64341,N-601,Naturgy,900,Congested
FRIC_376,43.05943,-4.09005,N-611,Viesgo,2400,Congested
FRIC_377,43.42431,-3.94395,N-611,Viesgo,2400,Congested
FRIC_378,42.94697,-5.65939,N-625,Viesgo,750,Congested
FRIC_379,43.26984,-5.7742,N-625,Viesgo,750,Congested
FRIC_380,42.47513,-3.58984,N-627,Viesgo,750,Congested
FRIC_381,43.11413,-3.45519,N-629,Viesgo,750,Congested
FRIC_382,43.39011,-3.44644,N-629,Viesgo,750,Congested
FRIC_383,43.230767,-5.781754,N-630,Viesgo,750,Congested
FRIC_384,43.007874,-5.908498,N-630,Viesgo,750,Congested
FRIC_385,42.928486,-5.856828,N-630,Viesgo,750,Congested
FRIC_386,39.155532,-6.645488,N-630,Endesa,750,Congested
FRIC_387,38.88495,-6.930621,N-630,Endesa,750,Congested
FRIC_388,38.905294,-6.397874,N-630,Endesa,750,Congested
FRIC_389,38.490048,-6.355174,N-630,Endesa,750,Congested
FRIC_390,38.198635,-6.284548,N-630,Endesa,750,Congested
FRIC_391,43.3577,-5.7232,N-632,Viesgo,2550,Congested
FRIC_392,43.257653,-2.941493,N-634,Viesgo,1950,Congested
FRIC_393,43.38268,-3.366322,N-634,Viesgo,1950,Congested
FRIC_394,43.458629,-3.825917,N-634,Viesgo,1950,Congested
FRIC_395,43.336899,-4.156651,N-634,Viesgo,1950,Congested
FRIC_396,43.391928,-4.612136,N-634,Viesgo,1950,Congested
FRIC_397,43.346719,-5.06869,N-634,Viesgo,1950,Congested
FRIC_398,43.375003,-5.550322,N-634,Viesgo,1950,Congested
FRIC_399,43.52234,-5.89802,N-640,Viesgo,750,Congested
FRIC_400,43.54532,-6.43841,N-640,Viesgo,750,Congested
FRIC_401,43.52437,-7.01249,N-640,Endesa,750,Moderate
FRIC_402,43.24124,-7.28675,N-640,Endesa,750,Congested
FRIC_403,43.15273,-7.67162,N-640,Endesa,750,Congested
