location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,data_quality,daily_sessions_p80,daily_sessions_avg,utilization_pct,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,fin_revenue_yr,fin_ebitda_yr,fin_ebitda_margin,fin_net_capex,fin_payback_yrs,fin_npv_10yr,is_tent
IBE_341,41.805305,-1.140978,N-232,9,Congested,unknown,278,234,54.8,81.4,2,5,9,417000,480136,175038,36.5,291900,1.7,937494,False
IBE_342,42.036098,-1.537202,N-232,9,Sufficient,measured,278,234,54.8,81.4,2,5,9,297000,480136,175038,36.5,207900,1.2,1021494,False
IBE_343,41.975522,-3.295969,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,398000,320090,112812,35.2,278600,2.5,513744,False
IBE_344,41.807463,-2.835299,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_345,41.724827,-2.299398,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,398000,320090,112812,35.2,278600,2.5,513744,False
IBE_346,41.490668,-1.801664,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_347,40.93995,-1.296002,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_348,40.515353,-1.253882,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_349,40.189598,-0.905007,N-234,6,Congested,unknown,185,156,54.7,81.2,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_350,39.893554,-0.546336,N-234,6,Sufficient,measured,185,156,54.7,81.2,2,4,6,213000,320090,112812,35.2,149100,1.3,643244,False
IBE_351,42.56553,-0.73675,N-240,19,Congested,unknown,616,520,57.5,85.4,2,11,19,697000,1013620,382458,37.7,487900,1.3,2198325,False
IBE_352,42.62548,-1.02775,N-240,19,Congested,unknown,616,520,57.5,85.4,2,11,19,697000,1013620,382458,37.7,487900,1.3,2198325,False
